scientific,region,minlump,segst,segend,log_avg_wt,seg.12,seg.123,seg.y,lets
Pseudomys albocinereus,SW,1,1.414973348,1.544068044,1.484299839,1,1.0,3.0,A
Dasyurus geoffroii,SW,4,2.949390007,3.117271296,3.041392685,2,2.0,3.0,B
Macrotis lagotis,SW,4,2.977723605,3.243038049,3.130333768,1,1.0,6.0,C
Trichosurus vulpecula,SW,5,3.371067862,3.462397998,3.419129308,2,2.0,4.0,D
Setonix brachyurus,SW,5,3.40654018,3.537819095,3.477121255,1,1.0,7.0,E
Dasyurus viverrinus,SC,3,2.944482672,3.113943352,3.037426498,2,1.0,2.0,F
Dasyurus geoffroii,SC,3,2.949390007,3.117271296,3.041392685,1,2.0,5.0,G
Macrotis lagotis,SC,3,2.977723605,3.243038049,3.130333768,2,3.0,2.0,H
Dasyurus maculatus,SC,4,3.301029996,3.477121255,3.397940009,1,1.0,6.0,I
Trichosurus vulpecula,SC,4,3.371067862,3.462397998,3.419129308,2,2.0,3.0,J
Phascolarctos cinereus,SC,5,3.929418926,4.079181246,4.010723865,1,3.0,7.0,K
Macropus rufus,SC,6,4.397940009,4.740362689,4.602059991,2,1.0,5.0,L
Capra hircus,SC,6,4.431363764,4.602059991,4.525044807,1,2.0,8.0,M
Macropus fuliginosus,SC,6,4.447158031,4.653212514,4.562292864,2,3.0,5.0,N
