scientific,region,ext,per_occupied,sex,wt,avg_wt
Antechinus flavipes,SW,0,2,M,56,45
Antechinus flavipes,SW,0,2,F,34,45
Antechinus flavipes,SC,0,1,M,56,45
Antechinus flavipes,SC,0,1,F,34,45
Bettongia lesueur,SC,1,3,B,680,680
Bettongia lesueur,SW,1,2,B,680,680
Bettongia penicillata,SC,1,3,M,1415,1270
Bettongia penicillata,SC,1,3,F,1125,1270
Bettongia penicillata,SW,1,3,M,1415,1270
Bettongia penicillata,SW,1,3,F,1125,1270
Canis lupus,SC,1,3,M,15000,14000
Canis lupus,SC,1,3,F,13000,14000
Canis lupus,SW,0,2,M,15000,14000
Canis lupus,SW,0,2,F,13000,14000
Capra hircus,SW,0,1,M,40000,33500
Capra hircus,SW,0,1,F,27000,33500
Capra hircus,SC,0,2,M,40000,33500
Capra hircus,SC,0,2,F,27000,33500
Cercartetus concinnus,SC,0,3,B,13,13
Cercartetus concinnus,SW,0,3,B,13,13
Cervus elaphus,SC,0,1,M,147000,119500
Cervus elaphus,SC,0,1,F,92000,119500
Dama dama,SC,0,2,M,80000,63000
Dama dama,SC,0,2,F,46000,63000
Dasyurus geoffroii,SC,1,3,M,1310,1100
Dasyurus geoffroii,SC,1,3,F,890,1100
Dasyurus geoffroii,SW,0,3,M,1310,1100
Dasyurus geoffroii,SW,0,3,F,890,1100
Dasyurus maculatus,SC,1,1,M,3000,2500
Dasyurus maculatus,SC,1,1,F,2000,2500
Dasyurus viverrinus,SC,1,2,M,1300,1090
Dasyurus viverrinus,SC,1,2,F,880,1090
Felis catus,SW,0,3,M,5350,4550
Felis catus,SW,0,3,F,3750,4550
Felis catus,SC,0,3,M,5350,4550
Felis catus,SC,0,3,F,3750,4550
Hydromys chrysogaster,SW,0,2,M,755,680.5
Hydromys chrysogaster,SW,0,2,F,606,680.5
Hydromys chrysogaster,SC,0,3,M,755,680.5
Hydromys chrysogaster,SC,0,3,F,606,680.5
Isoodon obesulus,SC,0,1,M,890,755
Isoodon obesulus,SC,0,1,F,620,755
Isoodon obesulus,SW,0,3,M,890,755
Isoodon obesulus,SW,0,3,F,620,755
Lagorchestes hirsutus,SW,1,2,M,1220,1265
Lagorchestes hirsutus,SW,1,2,F,1310,1265
Lagostrophus fasciatus,SW,1,2,B,1600,1600
Lasiorhinus latifrons,SC,0,1,M,27500,27125
Lasiorhinus latifrons,SC,0,1,F,26750,27125
Leporillus conditor,SC,1,1,B,350,350
Lepus europaeus,SC,0,3,M,3200,3350
Lepus europaeus,SC,0,3,F,3500,3350
Macropus eugenii,SC,1,3,M,7500,6500
Macropus eugenii,SC,1,3,F,5500,6500
Macropus eugenii,SW,0,3,M,7500,6500
Macropus eugenii,SW,0,3,F,5500,6500
Macropus fuliginosus,SC,0,3,M,45000,36500
Macropus fuliginosus,SC,0,3,F,28000,36500
Macropus fuliginosus,SW,0,3,M,45000,36500
Macropus fuliginosus,SW,0,3,F,28000,36500
Macropus irma,SW,0,3,B,8000,8000
Macropus robustus,SC,0,3,M,33625,25375
Macropus robustus,SC,0,3,F,17125,25375
Macropus robustus,SW,0,2,M,33625,25375
Macropus robustus,SW,0,2,F,17125,25375
Macropus rufus,SC,0,3,M,55000,40000
Macropus rufus,SC,0,3,F,25000,40000
Macropus rufus,SW,0,1,M,55000,40000
Macropus rufus,SW,0,1,F,25000,40000
Macrotis lagotis,SW,1,3,M,1750,1350
Macrotis lagotis,SW,1,3,F,950,1350
Macrotis lagotis,SC,1,3,M,1750,1350
Macrotis lagotis,SC,1,3,F,950,1350
Mus musculus,SW,0,3,B,16.5,16.5
Mus musculus,SC,0,3,B,16.5,16.5
Myrmecobius fasciatus,SC,1,3,M,597,537.5
Myrmecobius fasciatus,SC,1,3,F,478,537.5
Myrmecobius fasciatus,SW,1,3,M,597,537.5
Myrmecobius fasciatus,SW,1,3,F,478,537.5
Notomys alexis,SW,0,1,B,35,
Notomys mitchelli,SW,0,3,B,52,52
Oryctolagus cuniculus,SW,0,3,M,1590,1580
Oryctolagus cuniculus,SW,0,3,F,1570,1580
Oryctolagus cuniculus,SC,0,3,M,1590,1580
Oryctolagus cuniculus,SC,0,3,F,1570,1580
Perameles bougainville,SC,1,3,M,212,215
Perameles bougainville,SC,1,3,F,218,215
Perameles bougainville,SW,1,3,M,212,215
Perameles bougainville,SW,1,3,F,218,215
Petrogale lateralis,SW,1,2,M,4500,4000
Petrogale lateralis,SW,1,2,F,3500,4000
Petrogale xanthopus,SC,0,2,B,8500,8500
Phascogale calura,SW,0,2,M,60,51.5
Phascogale calura,SW,0,2,F,43,51.5
Phascogale tapoatafa,SC,1,1,M,231,193.5
Phascogale tapoatafa,SC,1,1,F,156,193.5
Phascogale tapoatafa,SW,0,3,M,231,193.5
Phascogale tapoatafa,SW,0,3,F,156,193.5
Phascolarctos cinereus,SC,1,1,M,12000,10250
Phascolarctos cinereus,SC,1,1,F,8500,10250
Planigale gilesi,SC,0,1,M,11.5,9.2
Planigale gilesi,SC,0,1,F,6.9,9.2
Planigale tenuirostris,SC,0,2,M,6.8,6.05
Planigale tenuirostris,SC,0,2,F,5.3,6.05
Pseudocheirus occidentalis,SW,0,3,B,1000,1000
Pseudocheirus peregrinus,SC,0,1,B,900,900
Pseudomys albocinereus,SW,0,3,M,35,30.5
Pseudomys albocinereus,SW,0,3,F,26,30.5
Pseudomys bolami,SC,0,2,B,12.5,12.5
Pseudomys desertor,SW,1,1,B,25,25
Pseudomys desertor,SC,0,2,B,25,25
Pseudomys hermannsburgensis,SC,0,1,B,12,12
Pseudomys hermannsburgensis,SW,0,1,B,12,12
Pseudomys occidentalis,SW,1,2,B,34,34
Pseudomys shortridgei,SW,0,3,B,70,70
Rattus fuscipes,SC,0,1,B,132.5,132.5
Rattus fuscipes,SW,0,2,B,132.5,132.5
Rattus norvegicus,SW,0,2,B,320,320
Rattus rattus,SC,0,3,B,280,280
Rattus rattus,SW,0,3,B,280,280
Rattus tunneyi,SW,1,2,B,66,66
Setonix brachyurus,SW,0,2,M,3450,3000
Setonix brachyurus,SW,0,2,F,2550,3000
Sminthopsis crassicaudata,SC,0,3,B,15,15
Sminthopsis crassicaudata,SW,0,3,B,15,15
Sminthopsis dolichura,SW,0,2,M,14.8,13.6
Sminthopsis dolichura,SW,0,2,F,12.4,13.6
Sminthopsis gilberti,SW,0,2,B,18,18
Sminthopsis granulipes,SW,0,3,B,25,25
Sminthopsis griseoventer,SW,0,3,M,19,17.5
Sminthopsis griseoventer,SW,0,3,F,16,17.5
Sminthopsis macroura,SC,0,2,B,20,20
Sminthopsis murina,SC,0,1,F,14,17
Sminthopsis murina,SC,0,1,M,20,17
Sus scrofa,SW,0,3,M,105000,86250
Sus scrofa,SW,0,3,F,67500,86250
Sus scrofa,SC,0,1,M,105000,86250
Sus scrofa,SC,0,1,F,67500,86250
Tachyglossus aculeatus,SC,0,3,B,4500,4500
Tachyglossus aculeatus,SW,0,3,B,4500,4500
Tarsipes rostratus,SW,0,3,B,9,9
Trichosurus vulpecula,SC,0,3,M,2900,2625
Trichosurus vulpecula,SC,0,3,F,2350,2625
Trichosurus vulpecula,SW,0,3,M,2900,2625
Trichosurus vulpecula,SW,0,3,F,2350,2625
Vulpes vulpes,SW,0,3,M,6500,5950
Vulpes vulpes,SW,0,3,F,5400,5950
Vulpes vulpes,SC,0,3,M,6500,5950
Vulpes vulpes,SC,0,3,F,5400,5950
