scientific,region,logWtAnalysis,,,,logWtAnalysis,logWtAnalysis,Group
Planigale tenuirostris,SC,0.781755375,,,,0.781755375,0.781755375,1
Planigale gilesi,SC,0.963787827,,,,0.963787827,0.963787827,1
Pseudomys bolami,SC,1.096910013,,,,1.096910013,1.096910013,1
Cercartetus concinnus,SC,1.113943352,,,,1.113943352,1.113943352,1
Sminthopsis crassicaudata,SC,1.176091259,,,,1.176091259,1.176091259,1
Mus musculus,SC,1.217483944,,,,1.217483944,1.217483944,1
Sminthopsis murina,SC,1.230448921,,,,1.230448921,1.230448921,1
Sminthopsis macroura,SC,1.301029996,,,,1.301029996,1.301029996,1
Pseudomys desertor,SC,1.397940009,,,,1.397940009,1.397940009,1
Antechinus flavipes,SC,1.653212514,,,,1.653212514,1.653212514,1
Rattus fuscipes,SC,2.122215878,,,,2.122215878,2.122215878,2
Phascogale tapoatafa,SC,2.286680969,,,,2.286680969,2.286680969,2
Perameles bougainville,SC,2.33243846,,,,2.33243846,2.33243846,2
Rattus rattus,SC,2.447158031,,,,2.447158031,2.447158031,2
Leporillus conditor,SC,2.544068044,,,,2.544068044,2.544068044,2
Myrmecobius fasciatus,SC,2.730378469,,,,2.730378469,2.730378469,3
Bettongia lesueur,SC,2.832508913,,,,2.832508913,2.832508913,3
Hydromys chrysogaster,SC,2.83282813,,,,2.83282813,2.83282813,3
Isoodon obesulus,SC,2.877946952,,,,2.877946952,2.877946952,3
Pseudocheirus peregrinus,SC,2.954242509,,,,2.954242509,2.954242509,3
Dasyurus viverrinus,SC,3.037426498,,,,3.037426498,3.037426498,3
Dasyurus geoffroii,SC,3.041392685,,,,3.041392685,3.041392685,3
Bettongia penicillata,SC,3.103803721,,,,3.103803721,3.103803721,3
Macrotis lagotis,SC,3.130333768,,,,3.130333768,3.130333768,3
Oryctolagus cuniculus,SC,3.198657087,,,,3.198657087,3.198657087,3
Dasyurus maculatus,SC,3.397940009,,,,3.397940009,3.397940009,4
Trichosurus vulpecula,SC,3.419129308,,,,3.419129308,3.419129308,4
Lepus europaeus,SC,3.525044807,,,,3.525044807,3.525044807,4
Tachyglossus aculeatus,SC,3.653212514,,,,3.653212514,3.653212514,4
Felis catus,SC,3.658011397,,,,3.658011397,3.658011397,4
Vulpes vulpes,SC,3.774516966,,,,3.774516966,3.774516966,4
Macropus eugenii,SC,3.812913357,,,,3.812913357,3.812913357,4
Petrogale xanthopus,SC,3.929418926,,,,3.929418926,3.929418926,4
Phascolarctos cinereus,SC,4.010723865,,,,4.010723865,4.010723865,4
Canis lupus,SC,4.146128036,,,,4.146128036,4.146128036,5
Macropus robustus,SC,4.404406051,,,,4.404406051,4.404406051,5
Lasiorhinus latifrons,SC,4.433369747,,,,4.433369747,4.433369747,5
Capra hircus,SC,4.525044807,,,,4.525044807,4.525044807,5
Macropus fuliginosus,SC,4.562292864,,,,4.562292864,4.562292864,5
Macropus rufus,SC,4.602059991,,,,4.602059991,4.602059991,5
Dama dama,SC,4.799340549,,,,4.799340549,4.799340549,5
Sus scrofa,SC,4.935759104,,,,4.935759104,4.935759104,5
Cervus elaphus,SC,5.077367905,,,,5.077367905,5.077367905,5
