genus,scientific,logWtAnalysis,region,,logWtAnalysis,logWtAnalysis,Group
Planigale,Planigale tenuirostris,0.72427587,SC,,0.72427587,0.72427587,1
Planigale,Planigale tenuirostris,0.832508913,SC,,0.832508913,0.832508913,1
Planigale,Planigale gilesi,0.838849091,SC,,0.838849091,0.838849091,1
Planigale,Planigale gilesi,1.06069784,SC,,1.06069784,1.06069784,1
Pseudomys,Pseudomys bolami,1.096910013,SC,,1.096910013,1.096910013,1
Cercartetus,Cercartetus concinnus,1.113943352,SC,,1.113943352,1.113943352,1
Sminthopsis,Sminthopsis murina,1.146128036,SC,,1.146128036,1.146128036,1
Sminthopsis,Sminthopsis crassicaudata,1.176091259,SC,,1.176091259,1.176091259,1
Mus,Mus musculus,1.217483944,SC,,1.217483944,1.217483944,1
Sminthopsis,Sminthopsis macroura,1.301029996,SC,,1.301029996,1.301029996,1
Sminthopsis,Sminthopsis murina,1.301029996,SC,,1.301029996,1.301029996,1
Pseudomys,Pseudomys desertor,1.397940009,SC,,1.397940009,1.397940009,1
Antechinus,Antechinus flavipes,1.531478917,SC,,1.531478917,1.531478917,1
Antechinus,Antechinus flavipes,1.748188027,SC,,1.748188027,1.748188027,1
Rattus,Rattus fuscipes,2.122215878,SC,,2.122215878,2.122215878,2
Phascogale,Phascogale tapoatafa,2.193124598,SC,,2.193124598,2.193124598,2
Perameles,Perameles bougainville,2.326335861,SC,,2.326335861,2.326335861,2
Perameles,Perameles bougainville,2.338456494,SC,,2.338456494,2.338456494,2
Phascogale,Phascogale tapoatafa,2.36361198,SC,,2.36361198,2.36361198,2
Rattus,Rattus rattus,2.447158031,SC,,2.447158031,2.447158031,2
Leporillus,Leporillus conditor,2.544068044,SC,,2.544068044,2.544068044,2
Myrmecobius,Myrmecobius fasciatus,2.679427897,SC,,2.679427897,2.679427897,3
Myrmecobius,Myrmecobius fasciatus,2.775974331,SC,,2.775974331,2.775974331,3
Hydromys,Hydromys chrysogaster,2.782472624,SC,,2.782472624,2.782472624,3
Isoodon,Isoodon obesulus,2.792391689,SC,,2.792391689,2.792391689,3
Bettongia,Bettongia lesueur,2.832508913,SC,,2.832508913,2.832508913,3
Hydromys,Hydromys chrysogaster,2.877946952,SC,,2.877946952,2.877946952,3
Dasyurus,Dasyurus viverrinus,2.944482672,SC,,2.944482672,2.944482672,3
Dasyurus,Dasyurus geoffroii,2.949390007,SC,,2.949390007,2.949390007,3
Isoodon,Isoodon obesulus,2.949390007,SC,,2.949390007,2.949390007,3
Pseudocheirus,Pseudocheirus peregrinus,2.954242509,SC,,2.954242509,2.954242509,3
Macrotis,Macrotis lagotis,2.977723605,SC,,2.977723605,2.977723605,3
Bettongia,Bettongia penicillata,3.051152522,SC,,3.051152522,3.051152522,4
Dasyurus,Dasyurus viverrinus,3.113943352,SC,,3.113943352,3.113943352,4
Dasyurus,Dasyurus geoffroii,3.117271296,SC,,3.117271296,3.117271296,4
Bettongia,Bettongia penicillata,3.15075644,SC,,3.15075644,3.15075644,4
Oryctolagus,Oryctolagus cuniculus,3.195899652,SC,,3.195899652,3.195899652,4
Oryctolagus,Oryctolagus cuniculus,3.201397124,SC,,3.201397124,3.201397124,4
Macrotis,Macrotis lagotis,3.243038049,SC,,3.243038049,3.243038049,4
Dasyurus,Dasyurus maculatus,3.301029996,SC,,3.301029996,3.301029996,4
Trichosurus,Trichosurus vulpecula,3.371067862,SC,,3.371067862,3.371067862,4
Trichosurus,Trichosurus vulpecula,3.462397998,SC,,3.462397998,3.462397998,5
Dasyurus,Dasyurus maculatus,3.477121255,SC,,3.477121255,3.477121255,5
Lepus,Lepus europaeus,3.505149978,SC,,3.505149978,3.505149978,5
Lepus,Lepus europaeus,3.544068044,SC,,3.544068044,3.544068044,5
Felis,Felis catus,3.574031268,SC,,3.574031268,3.574031268,5
Tachyglossus,Tachyglossus aculeatus,3.653212514,SC,,3.653212514,3.653212514,5
Felis,Felis catus,3.728353782,SC,,3.728353782,3.728353782,5
Vulpes,Vulpes vulpes,3.73239376,SC,,3.73239376,3.73239376,5
Macropus,Macropus eugenii,3.740362689,SC,,3.740362689,3.740362689,5
Vulpes,Vulpes vulpes,3.812913357,SC,,3.812913357,3.812913357,5
Macropus,Macropus eugenii,3.875061263,SC,,3.875061263,3.875061263,5
Petrogale,Petrogale xanthopus,3.929418926,SC,,3.929418926,3.929418926,5
Phascolarctos,Phascolarctos cinereus,3.929418926,SC,,3.929418926,3.929418926,5
Phascolarctos,Phascolarctos cinereus,4.079181246,SC,,4.079181246,4.079181246,6
Canis,Canis lupus,4.113943352,SC,,4.113943352,4.113943352,6
Canis,Canis lupus,4.176091259,SC,,4.176091259,4.176091259,6
Macropus,Macropus robustus,4.23363058,SC,,4.23363058,4.23363058,6
Macropus,Macropus rufus,4.397940009,SC,,4.397940009,4.397940009,6
Lasiorhinus,Lasiorhinus latifrons,4.427323786,SC,,4.427323786,4.427323786,6
Capra,Capra hircus,4.431363764,SC,,4.431363764,4.431363764,6
Lasiorhinus,Lasiorhinus latifrons,4.439332694,SC,,4.439332694,4.439332694,6
Macropus,Macropus fuliginosus,4.447158031,SC,,4.447158031,4.447158031,6
Macropus,Macropus robustus,4.526662293,SC,,4.526662293,4.526662293,6
Capra,Capra hircus,4.602059991,SC,,4.602059991,4.602059991,7
Macropus,Macropus fuliginosus,4.653212514,SC,,4.653212514,4.653212514,7
Dama,Dama dama,4.662757832,SC,,4.662757832,4.662757832,7
Macropus,Macropus rufus,4.740362689,SC,,4.740362689,4.740362689,7
Sus,Sus scrofa,4.829303773,SC,,4.829303773,4.829303773,7
Dama,Dama dama,4.903089987,SC,,4.903089987,4.903089987,7
Cervus,Cervus elaphus,4.963787827,SC,,4.963787827,4.963787827,7
Sus,Sus scrofa,5.021189299,SC,,5.021189299,5.021189299,7
Cervus,Cervus elaphus,5.167317335,SC,,5.167317335,5.167317335,7
