scientific,region,logWtAnalysis,,,logWtAnalysis,logWtAnalysis,Group
Tarsipes rostratus,SW,0.954242509,,,0.954242509,0.954242509,1
Pseudomys hermannsburgensis,SW,1.079181246,,,1.079181246,1.079181246,1
Cercartetus concinnus,SW,1.113943352,,,1.113943352,1.113943352,1
Sminthopsis dolichura,SW,1.133538908,,,1.133538908,1.133538908,1
Sminthopsis crassicaudata,SW,1.176091259,,,1.176091259,1.176091259,1
Mus musculus,SW,1.217483944,,,1.217483944,1.217483944,1
Sminthopsis griseoventer,SW,1.243038049,,,1.243038049,1.243038049,1
Sminthopsis gilberti,SW,1.255272505,,,1.255272505,1.255272505,1
Pseudomys desertor,SW,1.397940009,,,1.397940009,1.397940009,1
Sminthopsis granulipes,SW,1.397940009,,,1.397940009,1.397940009,1
Pseudomys albocinereus,SW,1.484299839,,,1.484299839,1.484299839,2
Pseudomys occidentalis,SW,1.531478917,,,1.531478917,1.531478917,2
Notomys alexis,SW,1.544068044,,,1.544068044,1.544068044,2
Antechinus flavipes,SW,1.653212514,,,1.653212514,1.653212514,2
Phascogale calura,SW,1.711807229,,,1.711807229,1.711807229,2
Notomys mitchelli,SW,1.716003344,,,1.716003344,1.716003344,2
Rattus tunneyi,SW,1.819543936,,,1.819543936,1.819543936,2
Pseudomys shortridgei,SW,1.84509804,,,1.84509804,1.84509804,2
Rattus fuscipes,SW,2.122215878,,,2.122215878,2.122215878,3
Phascogale tapoatafa,SW,2.286680969,,,2.286680969,2.286680969,3
Perameles bougainville,SW,2.33243846,,,2.33243846,2.33243846,3
Rattus rattus,SW,2.447158031,,,2.447158031,2.447158031,3
Rattus norvegicus,SW,2.505149978,,,2.505149978,2.505149978,3
Myrmecobius fasciatus,SW,2.730378469,,,2.730378469,2.730378469,4
Bettongia lesueur,SW,2.832508913,,,2.832508913,2.832508913,4
Hydromys chrysogaster,SW,2.83282813,,,2.83282813,2.83282813,4
Isoodon obesulus,SW,2.877946952,,,2.877946952,2.877946952,4
Pseudocheirus occidentalis,SW,3,,,3,3,4
Dasyurus geoffroii,SW,3.041392685,,,3.041392685,3.041392685,4
Lagorchestes hirsutus,SW,3.102090526,,,3.102090526,3.102090526,4
Bettongia penicillata,SW,3.103803721,,,3.103803721,3.103803721,4
Macrotis lagotis,SW,3.130333768,,,3.130333768,3.130333768,4
Oryctolagus cuniculus,SW,3.198657087,,,3.198657087,3.198657087,4
Lagostrophus fasciatus,SW,3.204119983,,,3.204119983,3.204119983,4
Trichosurus vulpecula,SW,3.419129308,,,3.419129308,3.419129308,5
Setonix brachyurus,SW,3.477121255,,,3.477121255,3.477121255,5
Petrogale lateralis,SW,3.602059991,,,3.602059991,3.602059991,5
Tachyglossus aculeatus,SW,3.653212514,,,3.653212514,3.653212514,5
Felis catus,SW,3.658011397,,,3.658011397,3.658011397,5
Vulpes vulpes,SW,3.774516966,,,3.774516966,3.774516966,5
Macropus eugenii,SW,3.812913357,,,3.812913357,3.812913357,5
Macropus irma,SW,3.903089987,,,3.903089987,3.903089987,5
Canis lupus,SW,4.146128036,,,4.146128036,4.146128036,6
Macropus robustus,SW,4.404406051,,,4.404406051,4.404406051,6
Capra hircus,SW,4.525044807,,,4.525044807,4.525044807,6
Macropus fuliginosus,SW,4.562292864,,,4.562292864,4.562292864,6
Macropus rufus,SW,4.602059991,,,4.602059991,4.602059991,6
Sus scrofa,SW,4.935759104,,,4.935759104,4.935759104,6
