scientific,logWtAnalysis,region,,logWtAnalysis,logWtAnalysis,Group
Tarsipes rostratus,0.954242509,SW,,0.954242509,0.954242509,1
Pseudomys hermannsburgensis,1.079181246,SW,,1.079181246,1.079181246,1
Sminthopsis dolichura,1.093421685,SW,,1.093421685,1.093421685,1
Cercartetus concinnus,1.113943352,SW,,1.113943352,1.113943352,1
Sminthopsis dolichura,1.170261715,SW,,1.170261715,1.170261715,1
Sminthopsis crassicaudata,1.176091259,SW,,1.176091259,1.176091259,1
Sminthopsis griseoventer,1.204119983,SW,,1.204119983,1.204119983,1
Mus musculus,1.217483944,SW,,1.217483944,1.217483944,1
Sminthopsis gilberti,1.255272505,SW,,1.255272505,1.255272505,1
Sminthopsis griseoventer,1.278753601,SW,,1.278753601,1.278753601,1
Pseudomys desertor,1.397940009,SW,,1.397940009,1.397940009,1
Sminthopsis granulipes,1.397940009,SW,,1.397940009,1.397940009,1
Pseudomys albocinereus,1.414973348,SW,,1.414973348,1.414973348,1
Antechinus flavipes,1.531478917,SW,,1.531478917,1.531478917,2
Pseudomys occidentalis,1.531478917,SW,,1.531478917,1.531478917,2
Notomys alexis,1.544068044,SW,,1.544068044,1.544068044,2
Pseudomys albocinereus,1.544068044,SW,,1.544068044,1.544068044,2
Phascogale calura,1.633468456,SW,,1.633468456,1.633468456,2
Notomys mitchelli,1.716003344,SW,,1.716003344,1.716003344,2
Antechinus flavipes,1.748188027,SW,,1.748188027,1.748188027,2
Phascogale calura,1.77815125,SW,,1.77815125,1.77815125,2
Rattus tunneyi,1.819543936,SW,,1.819543936,1.819543936,2
Pseudomys shortridgei,1.84509804,SW,,1.84509804,1.84509804,2
Rattus fuscipes,2.122215878,SW,,2.122215878,2.122215878,3
Phascogale tapoatafa,2.193124598,SW,,2.193124598,2.193124598,3
Perameles bougainville,2.326335861,SW,,2.326335861,2.326335861,3
Perameles bougainville,2.338456494,SW,,2.338456494,2.338456494,3
Phascogale tapoatafa,2.36361198,SW,,2.36361198,2.36361198,3
Rattus rattus,2.447158031,SW,,2.447158031,2.447158031,3
Rattus norvegicus,2.505149978,SW,,2.505149978,2.505149978,3
Myrmecobius fasciatus,2.679427897,SW,,2.679427897,2.679427897,4
Myrmecobius fasciatus,2.775974331,SW,,2.775974331,2.775974331,4
Hydromys chrysogaster,2.782472624,SW,,2.782472624,2.782472624,4
Isoodon obesulus,2.792391689,SW,,2.792391689,2.792391689,4
Bettongia lesueur,2.832508913,SW,,2.832508913,2.832508913,4
Hydromys chrysogaster,2.877946952,SW,,2.877946952,2.877946952,4
Dasyurus geoffroii,2.949390007,SW,,2.949390007,2.949390007,4
Isoodon obesulus,2.949390007,SW,,2.949390007,2.949390007,4
Macrotis lagotis,2.977723605,SW,,2.977723605,2.977723605,4
Pseudocheirus occidentalis,3,SW,,3,3,4
Bettongia penicillata,3.051152522,SW,,3.051152522,3.051152522,5
Lagorchestes hirsutus,3.086359831,SW,,3.086359831,3.086359831,5
Dasyurus geoffroii,3.117271296,SW,,3.117271296,3.117271296,5
Lagorchestes hirsutus,3.117271296,SW,,3.117271296,3.117271296,5
Bettongia penicillata,3.15075644,SW,,3.15075644,3.15075644,5
Oryctolagus cuniculus,3.195899652,SW,,3.195899652,3.195899652,5
Oryctolagus cuniculus,3.201397124,SW,,3.201397124,3.201397124,5
Lagostrophus fasciatus,3.204119983,SW,,3.204119983,3.204119983,5
Macrotis lagotis,3.243038049,SW,,3.243038049,3.243038049,5
Trichosurus vulpecula,3.371067862,SW,,3.371067862,3.371067862,5
Setonix brachyurus,3.40654018,SW,,3.40654018,3.40654018,5
Trichosurus vulpecula,3.462397998,SW,,3.462397998,3.462397998,6
Setonix brachyurus,3.537819095,SW,,3.537819095,3.537819095,6
Petrogale lateralis,3.544068044,SW,,3.544068044,3.544068044,6
Felis catus,3.574031268,SW,,3.574031268,3.574031268,6
Petrogale lateralis,3.653212514,SW,,3.653212514,3.653212514,6
Tachyglossus aculeatus,3.653212514,SW,,3.653212514,3.653212514,6
Felis catus,3.728353782,SW,,3.728353782,3.728353782,6
Vulpes vulpes,3.73239376,SW,,3.73239376,3.73239376,6
Macropus eugenii,3.740362689,SW,,3.740362689,3.740362689,6
Vulpes vulpes,3.812913357,SW,,3.812913357,3.812913357,6
Macropus eugenii,3.875061263,SW,,3.875061263,3.875061263,6
Macropus irma,3.903089987,SW,,3.903089987,3.903089987,6
Canis lupus,4.113943352,SW,,4.113943352,4.113943352,7
Canis lupus,4.176091259,SW,,4.176091259,4.176091259,7
Macropus robustus,4.23363058,SW,,4.23363058,4.23363058,7
Macropus rufus,4.397940009,SW,,4.397940009,4.397940009,7
Capra hircus,4.431363764,SW,,4.431363764,4.431363764,7
Macropus fuliginosus,4.447158031,SW,,4.447158031,4.447158031,7
Macropus robustus,4.526662293,SW,,4.526662293,4.526662293,7
Capra hircus,4.602059991,SW,,4.602059991,4.602059991,7
Macropus fuliginosus,4.653212514,SW,,4.653212514,4.653212514,7
Macropus rufus,4.740362689,SW,,4.740362689,4.740362689,7
Sus scrofa,4.829303773,SW,,4.829303773,4.829303773,7
Sus scrofa,5.021189299,SW,,5.021189299,5.021189299,7
